PID---, CID-, ToF, TfF, CLT----, CIT----, ToT----, TfT----, CWI----, TrT----, SvT----, SvS-----
103,    1,   1,   5,  1631.2,    39.4,  1706.2,  1726.5,    75.0,    20.3,    95.3, 09.SVCP
104,    1,   1,   6,  1643.8,    12.6,  1707.0,  1739.9,    63.2,    32.9,    96.1, 09.SVCP
105,    1,   5,   1,  1666.8,    22.9,     0.0,     0.0, -1666.8,     0.0, -1666.8, 04.SVCA
106,    0,   3,   1,  1687.7,    20.9,     0.0,     0.0, -1687.7,     0.0, -1687.7, 03.SVCW
107,    1,  10,   1,  1719.8,    32.2,  1770.4,     0.0,    50.6, -1770.4, -1719.8, 07.SVRM
108,    1,   6,   1,  1732.3,    12.5,  1790.0,     0.0,    57.7, -1790.0, -1732.3, 07.SVRM
109,    0,   1,   2,  1736.0,     3.7,     0.0,     0.0, -1736.0,     0.0, -1736.0, 03.SVCW
110,    0,   1,   4,  1737.0,     1.0,     0.0,     0.0, -1737.0,     0.0, -1737.0, 03.SVCW
111,    0,  10,   1,  1785.5,    48.5,     0.0,     0.0, -1785.5,     0.0, -1785.5, 03.SVCW
112,    0,   1,   2,  1789.2,     3.7,     0.0,     0.0, -1789.2,     0.0, -1789.2, 03.SVCW
