Now----, Next---, Cage, LocalTime--, Pos, hw---------, Dep, Arr, SD, Clt--------, Ton, Tof, Hc-
09.RCOB, 10.RCOM,    1, 5.99333e+01,   4, 1.22500e+01,   7,   2, LD, 5.99333e+01,   0,   0,   0
10.RCOM, 05.RTSR,    1, 6.44667e+01,   2, 5.45000e+00,   7,   2, LD, 6.44667e+01,   0,   0,   0
05.RTSR, 11.RCOC,    1, 6.44667e+01,   2, 5.45000e+00,   7,   2, LD, 6.44667e+01,   0,   0,   0
11.RCOC, 12.RSDB,    1, 6.44667e+01,   2, 5.45000e+00,   7,   2, LD, 6.44667e+01,   0,   0,   0
12.RSDB, 13.RSDM,    1, 6.44667e+01,   2, 3.98750e+00,   7,   2, LD, 6.44667e+01,   0,   0,   0
13.RSDM, 14.RSDC,    1, 6.75667e+01,   2, 3.50000e+00,   7,   2, LD, 6.75667e+01,   0,   0,   0
14.RSDC, 15.RSTB,    1, 6.75667e+01,   2, 3.50000e+00,   7,   2, LD, 6.75667e+01,   0,   0,   0
15.RSTB, 16.RSTM,    1, 6.75667e+01,   2, 3.50000e+00,   7,   2, LD, 6.75667e+01,   0,   0,   0
16.RSTM, 17.DOPB,    1, 6.75667e+01,   2, 3.50000e+00,   7,   2, LD, 6.75667e+01,   0,   0,   0
17.DOPB, 18.DOPM,    1, 6.86167e+01,   2, 3.50000e+00,   7,   2, LD, 6.86167e+01,   0,   0,   0
18.DOPM, 19.DOPC,    1, 6.96667e+01,   2, 3.50000e+00,   7,   2, LD, 6.96667e+01,   0,   0,   0
19.DOPC, 20.TOFP,    1, 6.96667e+01,   2, 3.50000e+00,   7,   2, LD, 6.96667e+01,   0,   0,   0
20.TOFP, 24.TONP,    1, 6.96667e+01,   2, 3.50000e+00,   7,   2, LD, 6.96667e+01,   0,   0,   0
24.TONP, 25.TONB,    1, 6.96667e+01,   2, 3.50000e+00,   7,   2, LD, 6.96667e+01,   0,   0,   0
25.TONB, 26.TONM,    1, 6.96667e+01,   2, 3.50000e+00,   7,   2, LD, 6.96667e+01,   0,   0,   0
26.TONM, 27.TONC,    1, 7.04667e+01,   2, 3.50000e+00,   7,   2, LD, 7.04667e+01,   1,   0,   1
27.TONC, 28.DCLB,    1, 7.04667e+01,   2, 3.50000e+00,   7,   2, LD, 7.04667e+01,   0,   0,   1
28.DCLB, 29.DCLM,    1, 7.23167e+01,   2, 3.50000e+00,   7,   2, LD, 7.23167e+01,   0,   0,   1
29.DCLM, 30.DCLC,    1, 7.41667e+01,   2, 3.50000e+00,   7,   2, LD, 7.41667e+01,   0,   0,   1
30.DCLC, 31.RSTC,    1, 7.41667e+01,   2, 3.50000e+00,   7,   2, LD, 7.41667e+01,   0,   0,   1
31.RSTC, 04.RTSC,    1, 7.41667e+01,   2, 3.50000e+00,   7,   2, LD, 7.41667e+01,   0,   0,   1
04.RTSC, 06.RSUB,    1, 7.41667e+01,   2, 3.50000e+00,   2,   1, LD, 7.41667e+01,   0,   0,   1
06.RSUB, 07.RSUM,    1, 7.58595e+01,   1, 3.06250e+00,   2,   1, LD, 7.58595e+01,   0,   0,   1
07.RSUM, 08.RSUC,    1, 7.75523e+01,   1, 1.75000e+00,   2,   1, LD, 7.75523e+01,   0,   0,   1
08.RSUC, 12.RSDB,    1, 7.75523e+01,   1, 1.75000e+00,   2,   1, LD, 7.75523e+01,   0,   0,   1
12.RSDB, 13.RSDM,    1, 7.75523e+01,   1, 4.37500e-01,   2,   1, LD, 7.75523e+01,   0,   0,   1
13.RSDM, 14.RSDC,    1, 8.09379e+01,   1, 0.00000e+00,   2,   1, LD, 8.09379e+01,   0,   0,   1
14.RSDC, 15.RSTB,    1, 8.09379e+01,   1, 0.00000e+00,   2,   1, LD, 8.09379e+01,   0,   0,   1
15.RSTB, 16.RSTM,    1, 8.09379e+01,   1, 0.00000e+00,   2,   1, LD, 8.09379e+01,   0,   0,   1
16.RSTM, 17.DOPB,    1, 8.09379e+01,   1, 0.00000e+00,   2,   1, LD, 8.09379e+01,   0,   0,   1
17.DOPB, 18.DOPM,    1, 8.19879e+01,   1, 0.00000e+00,   2,   1, LD, 8.19879e+01,   0,   0,   1
18.DOPM, 19.DOPC,    1, 8.30379e+01,   1, 0.00000e+00,   2,   1, LD, 8.30379e+01,   0,   0,   1
19.DOPC, 20.TOFP,    1, 8.30379e+01,   1, 0.00000e+00,   2,   1, LD, 8.30379e+01,   0,   0,   1
20.TOFP, 21.TOFB,    1, 8.30379e+01,   1, 0.00000e+00,   2,   1, LD, 8.30379e+01,   0,   0,   1
21.TOFB, 22.TOFM,    1, 8.30379e+01,   1, 0.00000e+00,   2,   1, LD, 8.30379e+01,   0,   0,   1
22.TOFM, 23.TOFC,    1, 8.38379e+01,   1, 0.00000e+00,   2,   1, LD, 8.38379e+01,   0,   1,   0
23.TOFC, 24.TONP,    1, 8.38379e+01,   1, 0.00000e+00,   2,   1, LD, 8.38379e+01,   0,   0,   0
24.TONP, 25.TONB,    1, 8.38379e+01,   1, 0.00000e+00,   2,   1, LD, 8.38379e+01,   0,   0,   0
25.TONB, 26.TONM,    1, 8.46379e+01,   1, 0.00000e+00,   2,   1, LD, 8.46379e+01,   1,   0,   1
26.TONM, 27.TONC,    1, 8.54379e+01,   1, 0.00000e+00,   2,   1, LD, 8.54379e+01,   1,   0,   2
27.TONC, 28.DCLB,    1, 8.54379e+01,   1, 0.00000e+00,   2,   1, LD, 8.54379e+01,   0,   0,   2
28.DCLB, 29.DCLM,    1, 8.72879e+01,   1, 0.00000e+00,   2,   1, LD, 8.72879e+01,   0,   0,   2
29.DCLM, 30.DCLC,    1, 8.91379e+01,   1, 0.00000e+00,   2,   1, LD, 8.91379e+01,   0,   0,   2
30.DCLC, 31.RSTC,    1, 8.91379e+01,   1, 0.00000e+00,   2,   1, LD, 8.91379e+01,   0,   0,   2
31.RSTC, 04.RTSC,    1, 8.91379e+01,   1, 0.00000e+00,   2,   1, LD, 8.91379e+01,   0,   0,   2
04.RTSC, 06.RSUB,    1, 8.91379e+01,   1, 0.00000e+00,   1,   2, LU, 8.91379e+01,   0,   0,   2
06.RSUB, 07.RSUM,    1, 9.08308e+01,   1, 4.37500e-01,   1,   2, LU, 9.08308e+01,   0,   0,   2
07.RSUM, 08.RSUC,    1, 9.25236e+01,   1, 1.75000e+00,   1,   2, LU, 9.25236e+01,   0,   0,   2
08.RSUC, 12.RSDB,    1, 9.25236e+01,   1, 1.75000e+00,   1,   2, LU, 9.25236e+01,   0,   0,   2
12.RSDB, 13.RSDM,    1, 9.25236e+01,   1, 3.06250e+00,   1,   2, LU, 9.25236e+01,   0,   0,   2
13.RSDM, 14.RSDC,    1, 9.59092e+01,   2, 3.50000e+00,   1,   2, LU, 9.59092e+01,   0,   0,   2
14.RSDC, 15.RSTB,    1, 9.59092e+01,   2, 3.50000e+00,   1,   2, LU, 9.59092e+01,   0,   0,   2
15.RSTB, 16.RSTM,    1, 9.59092e+01,   2, 3.50000e+00,   1,   2, LU, 9.59092e+01,   0,   0,   2
16.RSTM, 17.DOPB,    1, 9.59092e+01,   2, 3.50000e+00,   1,   2, LU, 9.59092e+01,   0,   0,   2
17.DOPB, 18.DOPM,    1, 9.69592e+01,   2, 3.50000e+00,   1,   2, LU, 9.69592e+01,   0,   0,   2
18.DOPM, 19.DOPC,    1, 9.80092e+01,   2, 3.50000e+00,   1,   2, LU, 9.80092e+01,   0,   0,   2
19.DOPC, 20.TOFP,    1, 9.80092e+01,   2, 3.50000e+00,   1,   2, LU, 9.80092e+01,   0,   0,   2
20.TOFP, 21.TOFB,    1, 9.80092e+01,   2, 3.50000e+00,   1,   2, LU, 9.80092e+01,   0,   0,   2
21.TOFB, 22.TOFM,    1, 9.80092e+01,   2, 3.50000e+00,   1,   2, LU, 9.80092e+01,   0,   0,   2
22.TOFM, 23.TOFC,    1, 9.88092e+01,   2, 3.50000e+00,   1,   2, LU, 9.88092e+01,   0,   1,   1
23.TOFC, 24.TONP,    1, 9.88092e+01,   2, 3.50000e+00,   1,   2, LU, 9.88092e+01,   0,   0,   1
24.TONP, 28.DCLB,    1, 9.88092e+01,   2, 3.50000e+00,   1,   2, LU, 9.88092e+01,   0,   0,   1
28.DCLB, 29.DCLM,    1, 1.00659e+02,   2, 3.50000e+00,   1,   2, LU, 1.00659e+02,   0,   0,   1
