 NowState :   Stat: 14.RSDC, NowState :   Stat: 15.RSTB, itv      : 0.000000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=4.57000e+01, Hc=   1
 NowState :   Stat: 15.RSTB, NowState :   Stat: 16.RSTM, itv      : 0.000000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=4.57000e+01, Hc=   1
 NowState :   Stat: 16.RSTM, NowState :   Stat: 17.DOPB, itv      : 0.000000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=4.57000e+01, Hc=   1
 NowState :   Stat: 17.DOPB, NowState :   Stat: 18.DOPM, itv      : 1.050000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=4.67500e+01, Hc=   1
 NowState :   Stat: 18.DOPM, NowState :   Stat: 19.DOPC, itv      : 1.050000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=4.78000e+01, Hc=   1
 NowState :   Stat: 19.DOPC, NowState :   Stat: 20.TOFP, itv      : 0.000000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=4.78000e+01, Hc=   1
 NowState :   Stat: 20.TOFP, NowState :   Stat: 21.TOFB, itv      : 0.000000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=4.78000e+01, Hc=   1
 NowState :   Stat: 21.TOFB, NowState :   Stat: 22.TOFM, itv      : 0.000000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=4.78000e+01, Hc=   1
 NowState :   Stat: 22.TOFM, NowState :   Stat: 23.TOFC, itv      : 0.800000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=4.86000e+01, Hc=   0
 NowState :   Stat: 23.TOFC, NowState :   Stat: 24.TONP, itv      : 0.000000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=4.86000e+01, Hc=   0
 NowState :   Stat: 24.TONP, NowState :   Stat: 28.DCLB, itv      : 0.000000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=4.86000e+01, Hc=   0
 NowState :   Stat: 28.DCLB, NowState :   Stat: 29.DCLM, itv      : 1.850000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=5.04500e+01, Hc=   0
 NowState :   Stat: 29.DCLM, NowState :   Stat: 30.DCLC, itv      : 1.850000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=5.23000e+01, Hc=   0
 NowState :   Stat: 30.DCLC, NowState :   Stat: 31.RSTC, itv      : 0.000000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=5.23000e+01, Hc=   0
 NowState :   Stat: 31.RSTC, NowState :   Stat: 04.RTSC, itv      : 0.000000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=5.23000e+01, Hc=   0
 NowState :   Stat: 04.RTSC, NowState :   Stat: 06.RSUB, itv      : 0.000000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   7, Arr=   2, Dir=UD, Clt=5.23000e+01, Hc=   0
 NowState :   Stat: 06.RSUB, NowState :   Stat: 07.RSUM, itv      : 1.550000	 Cycle=   1	Pos=   6, hw=2.05125e+01, Dep=   7, Arr=   2, Dir=UD, Clt=5.38500e+01, Hc=   0
 NowState :   Stat: 07.RSUM, NowState :   Stat: 08.RSUC, itv      : 1.550000	 Cycle=   1	Pos=   6, hw=1.90500e+01, Dep=   7, Arr=   2, Dir=UD, Clt=5.54000e+01, Hc=   0
 NowState :   Stat: 08.RSUC, NowState :   Stat: 09.RCOB, itv      : 0.000000	 Cycle=   1	Pos=   6, hw=1.90500e+01, Dep=   7, Arr=   2, Dir=UD, Clt=5.54000e+01, Hc=   0
 NowState :   Stat: 09.RCOB, NowState :   Stat: 10.RCOM, itv      : 4.533333	 Cycle=   1	Pos=   4, hw=1.22500e+01, Dep=   7, Arr=   2, Dir=LD, Clt=5.99333e+01, Hc=   0
 NowState :   Stat: 10.RCOM, NowState :   Stat: 05.RTSR, itv      : 4.533333	 Cycle=   1	Pos=   2, hw=5.45000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=6.44667e+01, Hc=   0
