Now----, Next---, Cage, LocalTime--, Pos, hw---------, Dep, Arr, SD, Clt--------, Ton, Tof, Hc-
01.RCWB, 02.RCWM,    2, 0.00000e+00,   5, 0.00000e+00,   5,   5, LD, 0.00000e+00,   0,   0,   0
02.RCWM, 03.RCWC,    2, 2.15000e+01,   5, 0.00000e+00,   5,   5, LD, 2.15000e+01,   0,   0,   0
03.RCWC, 04.RTSC,    2, 2.15000e+01,   5, 0.00000e+00,   5,   5, LD, 2.15000e+01,   0,   0,   0
04.RTSC, 06.RSUB,    2, 2.15000e+01,   5, 0.00000e+00,   5,   1, LD, 2.15000e+01,   0,   0,   0
06.RSUB, 07.RSUM,    2, 2.30500e+01,   4, 1.35125e+01,   5,   1, LD, 2.30500e+01,   0,   0,   0
07.RSUM, 08.RSUC,    2, 2.46000e+01,   4, 1.20500e+01,   5,   1, LD, 2.46000e+01,   0,   0,   0
08.RSUC, 09.RCOB,    2, 2.46000e+01,   4, 1.20500e+01,   5,   1, LD, 2.46000e+01,   0,   0,   0
09.RCOB, 10.RCOM,    2, 2.79667e+01,   3, 7.00000e+00,   5,   1, LD, 2.79667e+01,   0,   0,   0
10.RCOM, 05.RTSR,    2, 3.13333e+01,   1, 1.95000e+00,   5,   1, LD, 3.13333e+01,   0,   0,   0
05.RTSR, 11.RCOC,    2, 3.13333e+01,   1, 1.95000e+00,   5,   1, LD, 3.13333e+01,   0,   0,   0
11.RCOC, 12.RSDB,    2, 3.13333e+01,   1, 1.95000e+00,   5,   1, LD, 3.13333e+01,   0,   0,   0
12.RSDB, 13.RSDM,    2, 3.13333e+01,   1, 4.87500e-01,   5,   1, LD, 3.13333e+01,   0,   0,   0
13.RSDM, 14.RSDC,    2, 3.44333e+01,   1, 0.00000e+00,   5,   1, LD, 3.44333e+01,   0,   0,   0
14.RSDC, 15.RSTB,    2, 3.44333e+01,   1, 0.00000e+00,   5,   1, LD, 3.44333e+01,   0,   0,   0
15.RSTB, 16.RSTM,    2, 3.44333e+01,   1, 0.00000e+00,   5,   1, LD, 3.44333e+01,   0,   0,   0
16.RSTM, 17.DOPB,    2, 3.44333e+01,   1, 0.00000e+00,   5,   1, LD, 3.44333e+01,   0,   0,   0
17.DOPB, 18.DOPM,    2, 3.54833e+01,   1, 0.00000e+00,   5,   1, LD, 3.54833e+01,   0,   0,   0
18.DOPM, 19.DOPC,    2, 3.65333e+01,   1, 0.00000e+00,   5,   1, LD, 3.65333e+01,   0,   0,   0
19.DOPC, 20.TOFP,    2, 3.65333e+01,   1, 0.00000e+00,   5,   1, LD, 3.65333e+01,   0,   0,   0
20.TOFP, 24.TONP,    2, 3.65333e+01,   1, 0.00000e+00,   5,   1, LD, 3.65333e+01,   0,   0,   0
24.TONP, 25.TONB,    2, 3.65333e+01,   1, 0.00000e+00,   5,   1, LD, 3.65333e+01,   0,   0,   0
25.TONB, 26.TONM,    2, 3.65333e+01,   1, 0.00000e+00,   5,   1, LD, 3.65333e+01,   0,   0,   0
26.TONM, 27.TONC,    2, 3.73333e+01,   1, 0.00000e+00,   5,   1, LD, 3.73333e+01,   1,   0,   1
27.TONC, 28.DCLB,    2, 3.73333e+01,   1, 0.00000e+00,   5,   1, LD, 3.73333e+01,   0,   0,   1
28.DCLB, 29.DCLM,    2, 3.91833e+01,   1, 0.00000e+00,   5,   1, LD, 3.91833e+01,   0,   0,   1
29.DCLM, 30.DCLC,    2, 4.10333e+01,   1, 0.00000e+00,   5,   1, LD, 4.10333e+01,   0,   0,   1
30.DCLC, 31.RSTC,    2, 4.10333e+01,   1, 0.00000e+00,   5,   1, LD, 4.10333e+01,   0,   0,   1
31.RSTC, 04.RTSC,    2, 4.10333e+01,   1, 0.00000e+00,   5,   1, LD, 4.10333e+01,   0,   0,   1
04.RTSC, 06.RSUB,    2, 4.10333e+01,   1, 0.00000e+00,   1,   7, LU, 4.10333e+01,   0,   0,   1
06.RSUB, 07.RSUM,    2, 4.25833e+01,   1, 4.87500e-01,   1,   7, LU, 4.25833e+01,   0,   0,   1
07.RSUM, 08.RSUC,    2, 4.41333e+01,   1, 1.95000e+00,   1,   7, LU, 4.41333e+01,   0,   0,   1
08.RSUC, 09.RCOB,    2, 4.41333e+01,   1, 1.95000e+00,   1,   7, LU, 4.41333e+01,   0,   0,   1
09.RCOB, 10.RCOM,    2, 4.98333e+01,   4, 1.05000e+01,   1,   7, LU, 4.98333e+01,   0,   0,   1
10.RCOM, 05.RTSR,    2, 5.55333e+01,   6, 1.90500e+01,   1,   7, UU, 5.55333e+01,   0,   0,   1
05.RTSR, 11.RCOC,    2, 5.55333e+01,   6, 1.90500e+01,   1,   7, UU, 5.55333e+01,   0,   0,   1
11.RCOC, 12.RSDB,    2, 5.55333e+01,   6, 1.90500e+01,   1,   7, UU, 5.55333e+01,   0,   0,   1
12.RSDB, 13.RSDM,    2, 5.55333e+01,   6, 2.05125e+01,   1,   7, UU, 5.55333e+01,   0,   0,   1
13.RSDM, 14.RSDC,    2, 5.86333e+01,   7, 2.10000e+01,   1,   7, UU, 5.86333e+01,   0,   0,   1
14.RSDC, 15.RSTB,    2, 5.86333e+01,   7, 2.10000e+01,   1,   7, UU, 5.86333e+01,   0,   0,   1
15.RSTB, 16.RSTM,    2, 5.86333e+01,   7, 2.10000e+01,   1,   7, UU, 5.86333e+01,   0,   0,   1
16.RSTM, 17.DOPB,    2, 5.86333e+01,   7, 2.10000e+01,   1,   7, UU, 5.86333e+01,   0,   0,   1
17.DOPB, 18.DOPM,    2, 5.96833e+01,   7, 2.10000e+01,   1,   7, UU, 5.96833e+01,   0,   0,   1
18.DOPM, 19.DOPC,    2, 6.07333e+01,   7, 2.10000e+01,   1,   7, UU, 6.07333e+01,   0,   0,   1
19.DOPC, 20.TOFP,    2, 6.07333e+01,   7, 2.10000e+01,   1,   7, UU, 6.07333e+01,   0,   0,   1
20.TOFP, 21.TOFB,    2, 6.07333e+01,   7, 2.10000e+01,   1,   7, UU, 6.07333e+01,   0,   0,   1
21.TOFB, 22.TOFM,    2, 6.07333e+01,   7, 2.10000e+01,   1,   7, UU, 6.07333e+01,   0,   0,   1
22.TOFM, 23.TOFC,    2, 6.15333e+01,   7, 2.10000e+01,   1,   7, UU, 6.15333e+01,   0,   1,   0
23.TOFC, 24.TONP,    2, 6.15333e+01,   7, 2.10000e+01,   1,   7, UU, 6.15333e+01,   0,   0,   0
24.TONP, 28.DCLB,    2, 6.15333e+01,   7, 2.10000e+01,   1,   7, UU, 6.15333e+01,   0,   0,   0
28.DCLB, 29.DCLM,    2, 6.33833e+01,   7, 2.10000e+01,   1,   7, UU, 6.33833e+01,   0,   0,   0
29.DCLM, 30.DCLC,    2, 6.52333e+01,   7, 2.10000e+01,   1,   7, UU, 6.52333e+01,   0,   0,   0
30.DCLC, 31.RSTC,    2, 6.52333e+01,   7, 2.10000e+01,   1,   7, UU, 6.52333e+01,   0,   0,   0
31.RSTC, 04.RTSC,    2, 6.52333e+01,   7, 2.10000e+01,   1,   7, UU, 6.52333e+01,   0,   0,   0
04.RTSC, 06.RSUB,    2, 6.52333e+01,   7, 2.10000e+01,   7,   2, UD, 6.52333e+01,   0,   0,   0
06.RSUB, 07.RSUM,    2, 6.67833e+01,   6, 2.05125e+01,   7,   2, UD, 6.67833e+01,   0,   0,   0
07.RSUM, 08.RSUC,    2, 6.83333e+01,   6, 1.90500e+01,   7,   2, UD, 6.83333e+01,   0,   0,   0
08.RSUC, 09.RCOB,    2, 6.83333e+01,   6, 1.90500e+01,   7,   2, UD, 6.83333e+01,   0,   0,   0
09.RCOB, 10.RCOM,    2, 7.28667e+01,   4, 1.22500e+01,   7,   2, LD, 7.28667e+01,   0,   0,   0
10.RCOM, 05.RTSR,    2, 7.74000e+01,   2, 5.45000e+00,   7,   2, LD, 7.74000e+01,   0,   0,   0
05.RTSR, 11.RCOC,    2, 7.74000e+01,   2, 5.45000e+00,   7,   2, LD, 7.74000e+01,   0,   0,   0
11.RCOC, 12.RSDB,    2, 7.74000e+01,   2, 5.45000e+00,   7,   2, LD, 7.74000e+01,   0,   0,   0
12.RSDB, 13.RSDM,    2, 7.74000e+01,   2, 3.98750e+00,   7,   2, LD, 7.74000e+01,   0,   0,   0
13.RSDM, 14.RSDC,    2, 8.05000e+01,   2, 3.50000e+00,   7,   2, LD, 8.05000e+01,   0,   0,   0
14.RSDC, 15.RSTB,    2, 8.05000e+01,   2, 3.50000e+00,   7,   2, LD, 8.05000e+01,   0,   0,   0
15.RSTB, 16.RSTM,    2, 8.05000e+01,   2, 3.50000e+00,   7,   2, LD, 8.05000e+01,   0,   0,   0
16.RSTM, 17.DOPB,    2, 8.05000e+01,   2, 3.50000e+00,   7,   2, LD, 8.05000e+01,   0,   0,   0
17.DOPB, 18.DOPM,    2, 8.15500e+01,   2, 3.50000e+00,   7,   2, LD, 8.15500e+01,   0,   0,   0
18.DOPM, 19.DOPC,    2, 8.26000e+01,   2, 3.50000e+00,   7,   2, LD, 8.26000e+01,   0,   0,   0
19.DOPC, 20.TOFP,    2, 8.26000e+01,   2, 3.50000e+00,   7,   2, LD, 8.26000e+01,   0,   0,   0
20.TOFP, 24.TONP,    2, 8.26000e+01,   2, 3.50000e+00,   7,   2, LD, 8.26000e+01,   0,   0,   0
24.TONP, 25.TONB,    2, 8.26000e+01,   2, 3.50000e+00,   7,   2, LD, 8.26000e+01,   0,   0,   0
25.TONB, 26.TONM,    2, 8.26000e+01,   2, 3.50000e+00,   7,   2, LD, 8.26000e+01,   0,   0,   0
26.TONM, 27.TONC,    2, 8.34000e+01,   2, 3.50000e+00,   7,   2, LD, 8.34000e+01,   1,   0,   1
27.TONC, 28.DCLB,    2, 8.34000e+01,   2, 3.50000e+00,   7,   2, LD, 8.34000e+01,   0,   0,   1
28.DCLB, 29.DCLM,    2, 8.52500e+01,   2, 3.50000e+00,   7,   2, LD, 8.52500e+01,   0,   0,   1
29.DCLM, 30.DCLC,    2, 8.71000e+01,   2, 3.50000e+00,   7,   2, LD, 8.71000e+01,   0,   0,   1
30.DCLC, 31.RSTC,    2, 8.71000e+01,   2, 3.50000e+00,   7,   2, LD, 8.71000e+01,   0,   0,   1
31.RSTC, 04.RTSC,    2, 8.71000e+01,   2, 3.50000e+00,   7,   2, LD, 8.71000e+01,   0,   0,   1
04.RTSC, 06.RSUB,    2, 8.71000e+01,   2, 3.50000e+00,   2,   1, LD, 8.71000e+01,   0,   0,   1
06.RSUB, 07.RSUM,    2, 8.87928e+01,   1, 3.06250e+00,   2,   1, LD, 8.87928e+01,   0,   0,   1
07.RSUM, 08.RSUC,    2, 9.04856e+01,   1, 1.75000e+00,   2,   1, LD, 9.04856e+01,   0,   0,   1
08.RSUC, 12.RSDB,    2, 9.04856e+01,   1, 1.75000e+00,   2,   1, LD, 9.04856e+01,   0,   0,   1
12.RSDB, 13.RSDM,    2, 9.04856e+01,   1, 4.37500e-01,   2,   1, LD, 9.04856e+01,   0,   0,   1
13.RSDM, 14.RSDC,    2, 9.38713e+01,   1, 0.00000e+00,   2,   1, LD, 9.38713e+01,   0,   0,   1
14.RSDC, 15.RSTB,    2, 9.38713e+01,   1, 0.00000e+00,   2,   1, LD, 9.38713e+01,   0,   0,   1
15.RSTB, 16.RSTM,    2, 9.38713e+01,   1, 0.00000e+00,   2,   1, LD, 9.38713e+01,   0,   0,   1
16.RSTM, 17.DOPB,    2, 9.38713e+01,   1, 0.00000e+00,   2,   1, LD, 9.38713e+01,   0,   0,   1
17.DOPB, 18.DOPM,    2, 9.49213e+01,   1, 0.00000e+00,   2,   1, LD, 9.49213e+01,   0,   0,   1
18.DOPM, 19.DOPC,    2, 9.59713e+01,   1, 0.00000e+00,   2,   1, LD, 9.59713e+01,   0,   0,   1
19.DOPC, 20.TOFP,    2, 9.59713e+01,   1, 0.00000e+00,   2,   1, LD, 9.59713e+01,   0,   0,   1
20.TOFP, 21.TOFB,    2, 9.59713e+01,   1, 0.00000e+00,   2,   1, LD, 9.59713e+01,   0,   0,   1
21.TOFB, 22.TOFM,    2, 9.59713e+01,   1, 0.00000e+00,   2,   1, LD, 9.59713e+01,   0,   0,   1
22.TOFM, 23.TOFC,    2, 9.67713e+01,   1, 0.00000e+00,   2,   1, LD, 9.67713e+01,   0,   1,   0
23.TOFC, 24.TONP,    2, 9.67713e+01,   1, 0.00000e+00,   2,   1, LD, 9.67713e+01,   0,   0,   0
24.TONP, 25.TONB,    2, 9.67713e+01,   1, 0.00000e+00,   2,   1, LD, 9.67713e+01,   0,   0,   0
25.TONB, 26.TONM,    2, 9.75713e+01,   1, 0.00000e+00,   2,   1, LD, 9.75713e+01,   1,   0,   1
26.TONM, 27.TONC,    2, 9.91713e+01,   1, 0.00000e+00,   2,   1, LD, 9.91713e+01,   2,   0,   3
27.TONC, 28.DCLB,    2, 9.91713e+01,   1, 0.00000e+00,   2,   1, LD, 9.91713e+01,   0,   0,   3
28.DCLB, 29.DCLM,    2, 1.01021e+02,   1, 0.00000e+00,   2,   1, LD, 1.01021e+02,   0,   0,   3
29.DCLM, 30.DCLC,    2, 1.02871e+02,   1, 0.00000e+00,   2,   1, LD, 1.02871e+02,   0,   0,   3
30.DCLC, 31.RSTC,    2, 1.02871e+02,   1, 0.00000e+00,   2,   1, LD, 1.02871e+02,   0,   0,   3
31.RSTC, 04.RTSC,    2, 1.02871e+02,   1, 0.00000e+00,   2,   1, LD, 1.02871e+02,   0,   0,   3
04.RTSC, 15.RSTB,    2, 1.02871e+02,   1, 0.00000e+00,   1,   1, L-, 1.02871e+02,   0,   0,   3
15.RSTB, 16.RSTM,    2, 1.02871e+02,   1, 0.00000e+00,   1,   1, L-, 1.02871e+02,   0,   0,   3
16.RSTM, 17.DOPB,    2, 1.02871e+02,   1, 0.00000e+00,   1,   1, L-, 1.02871e+02,   0,   0,   3
17.DOPB, 18.DOPM,    2, 1.03921e+02,   1, 0.00000e+00,   1,   1, L-, 1.03921e+02,   0,   0,   3
18.DOPM, 19.DOPC,    2, 1.04971e+02,   1, 0.00000e+00,   1,   1, L-, 1.04971e+02,   0,   0,   3
19.DOPC, 20.TOFP,    2, 1.04971e+02,   1, 0.00000e+00,   1,   1, L-, 1.04971e+02,   0,   0,   3
20.TOFP, 24.TONP,    2, 1.04971e+02,   1, 0.00000e+00,   1,   1, L-, 1.04971e+02,   0,   0,   3
24.TONP, 25.TONB,    2, 1.04971e+02,   1, 0.00000e+00,   1,   1, L-, 1.04971e+02,   0,   0,   3
25.TONB, 26.TONM,    2, 1.04971e+02,   1, 0.00000e+00,   1,   1, L-, 1.04971e+02,   0,   0,   3
26.TONM, 27.TONC,    2, 1.05771e+02,   1, 0.00000e+00,   1,   1, L-, 1.05771e+02,   1,   0,   4
27.TONC, 28.DCLB,    2, 1.05771e+02,   1, 0.00000e+00,   1,   1, L-, 1.05771e+02,   0,   0,   4
28.DCLB, 29.DCLM,    2, 1.07621e+02,   1, 0.00000e+00,   1,   1, L-, 1.07621e+02,   0,   0,   4
29.DCLM, 30.DCLC,    2, 1.09471e+02,   1, 0.00000e+00,   1,   1, L-, 1.09471e+02,   0,   0,   4
30.DCLC, 31.RSTC,    2, 1.09471e+02,   1, 0.00000e+00,   1,   1, L-, 1.09471e+02,   0,   0,   4
31.RSTC, 04.RTSC,    2, 1.09471e+02,   1, 0.00000e+00,   1,   1, L-, 1.09471e+02,   0,   0,   4
04.RTSC, 06.RSUB,    2, 1.09471e+02,   1, 0.00000e+00,   1,   2, LU, 1.09471e+02,   0,   0,   4
06.RSUB, 07.RSUM,    2, 1.11164e+02,   1, 4.37500e-01,   1,   2, LU, 1.11164e+02,   0,   0,   4
07.RSUM, 08.RSUC,    2, 1.12857e+02,   1, 1.75000e+00,   1,   2, LU, 1.12857e+02,   0,   0,   4
08.RSUC, 12.RSDB,    2, 1.12857e+02,   1, 1.75000e+00,   1,   2, LU, 1.12857e+02,   0,   0,   4
12.RSDB, 13.RSDM,    2, 1.12857e+02,   1, 3.06250e+00,   1,   2, LU, 1.12857e+02,   0,   0,   4
13.RSDM, 14.RSDC,    2, 1.16243e+02,   2, 3.50000e+00,   1,   2, LU, 1.16243e+02,   0,   0,   4
14.RSDC, 15.RSTB,    2, 1.16243e+02,   2, 3.50000e+00,   1,   2, LU, 1.16243e+02,   0,   0,   4
15.RSTB, 16.RSTM,    2, 1.16243e+02,   2, 3.50000e+00,   1,   2, LU, 1.16243e+02,   0,   0,   4
16.RSTM, 17.DOPB,    2, 1.16243e+02,   2, 3.50000e+00,   1,   2, LU, 1.16243e+02,   0,   0,   4
17.DOPB, 18.DOPM,    2, 1.17293e+02,   2, 3.50000e+00,   1,   2, LU, 1.17293e+02,   0,   0,   4
18.DOPM, 19.DOPC,    2, 1.18343e+02,   2, 3.50000e+00,   1,   2, LU, 1.18343e+02,   0,   0,   4
19.DOPC, 20.TOFP,    2, 1.18343e+02,   2, 3.50000e+00,   1,   2, LU, 1.18343e+02,   0,   0,   4
20.TOFP, 21.TOFB,    2, 1.18343e+02,   2, 3.50000e+00,   1,   2, LU, 1.18343e+02,   0,   0,   4
21.TOFB, 22.TOFM,    2, 1.18343e+02,   2, 3.50000e+00,   1,   2, LU, 1.18343e+02,   0,   0,   4
22.TOFM, 23.TOFC,    2, 1.19143e+02,   2, 3.50000e+00,   1,   2, LU, 1.19143e+02,   0,   1,   3
23.TOFC, 24.TONP,    2, 1.19143e+02,   2, 3.50000e+00,   1,   2, LU, 1.19143e+02,   0,   0,   3
24.TONP, 28.DCLB,    2, 1.19143e+02,   2, 3.50000e+00,   1,   2, LU, 1.19143e+02,   0,   0,   3
28.DCLB, 29.DCLM,    2, 1.20993e+02,   2, 3.50000e+00,   1,   2, LU, 1.20993e+02,   0,   0,   3
29.DCLM, 30.DCLC,    2, 1.22843e+02,   2, 3.50000e+00,   1,   2, LU, 1.22843e+02,   0,   0,   3
30.DCLC, 31.RSTC,    2, 1.22843e+02,   2, 3.50000e+00,   1,   2, LU, 1.22843e+02,   0,   0,   3
31.RSTC, 04.RTSC,    2, 1.22843e+02,   2, 3.50000e+00,   1,   2, LU, 1.22843e+02,   0,   0,   3
04.RTSC, 06.RSUB,    2, 1.22843e+02,   2, 3.50000e+00,   2,   5, LU, 1.22843e+02,   0,   0,   3
06.RSUB, 07.RSUM,    2, 1.24393e+02,   2, 3.98750e+00,   2,   5, LU, 1.24393e+02,   0,   0,   3
07.RSUM, 08.RSUC,    2, 1.25943e+02,   2, 5.45000e+00,   2,   5, LU, 1.25943e+02,   0,   0,   3
08.RSUC, 09.RCOB,    2, 1.25943e+02,   2, 5.45000e+00,   2,   5, LU, 1.25943e+02,   0,   0,   3
09.RCOB, 10.RCOM,    2, 1.28143e+02,   3, 8.75000e+00,   2,   5, LU, 1.28143e+02,   0,   0,   3
10.RCOM, 05.RTSR,    2, 1.30343e+02,   4, 1.20500e+01,   2,   5, LU, 1.30343e+02,   0,   0,   3
05.RTSR, 11.RCOC,    2, 1.30343e+02,   4, 1.20500e+01,   2,   5, LU, 1.30343e+02,   0,   0,   3
11.RCOC, 12.RSDB,    2, 1.30343e+02,   4, 1.20500e+01,   2,   5, LU, 1.30343e+02,   0,   0,   3
12.RSDB, 13.RSDM,    2, 1.30343e+02,   4, 1.35125e+01,   2,   5, LU, 1.30343e+02,   0,   0,   3
13.RSDM, 14.RSDC,    2, 1.33443e+02,   5, 1.40000e+01,   2,   5, LU, 1.33443e+02,   0,   0,   3
14.RSDC, 15.RSTB,    2, 1.33443e+02,   5, 1.40000e+01,   2,   5, LU, 1.33443e+02,   0,   0,   3
15.RSTB, 16.RSTM,    2, 1.33443e+02,   5, 1.40000e+01,   2,   5, LU, 1.33443e+02,   0,   0,   3
16.RSTM, 17.DOPB,    2, 1.33443e+02,   5, 1.40000e+01,   2,   5, LU, 1.33443e+02,   0,   0,   3
17.DOPB, 18.DOPM,    2, 1.34493e+02,   5, 1.40000e+01,   2,   5, LU, 1.34493e+02,   0,   0,   3
18.DOPM, 19.DOPC,    2, 1.35543e+02,   5, 1.40000e+01,   2,   5, LU, 1.35543e+02,   0,   0,   3
19.DOPC, 20.TOFP,    2, 1.35543e+02,   5, 1.40000e+01,   2,   5, LU, 1.35543e+02,   0,   0,   3
20.TOFP, 24.TONP,    2, 1.35543e+02,   5, 1.40000e+01,   2,   5, LU, 1.35543e+02,   0,   0,   3
24.TONP, 25.TONB,    2, 1.35543e+02,   5, 1.40000e+01,   2,   5, LU, 1.35543e+02,   0,   0,   3
25.TONB, 26.TONM,    2, 1.35543e+02,   5, 1.40000e+01,   2,   5, LU, 1.35543e+02,   0,   0,   3
26.TONM, 27.TONC,    2, 1.36343e+02,   5, 1.40000e+01,   2,   5, LU, 1.36343e+02,   1,   0,   4
27.TONC, 28.DCLB,    2, 1.36343e+02,   5, 1.40000e+01,   2,   5, LU, 1.36343e+02,   0,   0,   4
28.DCLB, 29.DCLM,    2, 1.38193e+02,   5, 1.40000e+01,   2,   5, LU, 1.38193e+02,   0,   0,   4
29.DCLM, 30.DCLC,    2, 1.40043e+02,   5, 1.40000e+01,   2,   5, LU, 1.40043e+02,   0,   0,   4
30.DCLC, 31.RSTC,    2, 1.40043e+02,   5, 1.40000e+01,   2,   5, LU, 1.40043e+02,   0,   0,   4
31.RSTC, 04.RTSC,    2, 1.40043e+02,   5, 1.40000e+01,   2,   5, LU, 1.40043e+02,   0,   0,   4
04.RTSC, 06.RSUB,    2, 1.40043e+02,   5, 1.40000e+01,   5,   8, LU, 1.40043e+02,   0,   0,   4
06.RSUB, 07.RSUM,    2, 1.41593e+02,   5, 1.44875e+01,   5,   8, LU, 1.41593e+02,   0,   0,   4
07.RSUM, 08.RSUC,    2, 1.43143e+02,   5, 1.59500e+01,   5,   8, LU, 1.43143e+02,   0,   0,   4
08.RSUC, 09.RCOB,    2, 1.43143e+02,   5, 1.59500e+01,   5,   8, LU, 1.43143e+02,   0,   0,   4
09.RCOB, 10.RCOM,    2, 1.45343e+02,   6, 1.92500e+01,   5,   8, UU, 1.45343e+02,   0,   0,   4
10.RCOM, 05.RTSR,    2, 1.47543e+02,   7, 2.25500e+01,   5,   8, UU, 1.47543e+02,   0,   0,   4
05.RTSR, 11.RCOC,    2, 1.47543e+02,   7, 2.25500e+01,   5,   8, UU, 1.47543e+02,   0,   0,   4
11.RCOC, 12.RSDB,    2, 1.47543e+02,   7, 2.25500e+01,   5,   8, UU, 1.47543e+02,   0,   0,   4
12.RSDB, 13.RSDM,    2, 1.47543e+02,   7, 2.40125e+01,   5,   8, UU, 1.47543e+02,   0,   0,   4
13.RSDM, 14.RSDC,    2, 1.50643e+02,   8, 2.45000e+01,   5,   8, UU, 1.50643e+02,   0,   0,   4
14.RSDC, 15.RSTB,    2, 1.50643e+02,   8, 2.45000e+01,   5,   8, UU, 1.50643e+02,   0,   0,   4
15.RSTB, 16.RSTM,    2, 1.50643e+02,   8, 2.45000e+01,   5,   8, UU, 1.50643e+02,   0,   0,   4
16.RSTM, 17.DOPB,    2, 1.50643e+02,   8, 2.45000e+01,   5,   8, UU, 1.50643e+02,   0,   0,   4
17.DOPB, 18.DOPM,    2, 1.51693e+02,   8, 2.45000e+01,   5,   8, UU, 1.51693e+02,   0,   0,   4
18.DOPM, 19.DOPC,    2, 1.52743e+02,   8, 2.45000e+01,   5,   8, UU, 1.52743e+02,   0,   0,   4
19.DOPC, 20.TOFP,    2, 1.52743e+02,   8, 2.45000e+01,   5,   8, UU, 1.52743e+02,   0,   0,   4
20.TOFP, 21.TOFB,    2, 1.52743e+02,   8, 2.45000e+01,   5,   8, UU, 1.52743e+02,   0,   0,   4
21.TOFB, 22.TOFM,    2, 1.52743e+02,   8, 2.45000e+01,   5,   8, UU, 1.52743e+02,   0,   0,   4
22.TOFM, 23.TOFC,    2, 1.53543e+02,   8, 2.45000e+01,   5,   8, UU, 1.53543e+02,   0,   1,   3
23.TOFC, 24.TONP,    2, 1.53543e+02,   8, 2.45000e+01,   5,   8, UU, 1.53543e+02,   0,   0,   3
24.TONP, 28.DCLB,    2, 1.53543e+02,   8, 2.45000e+01,   5,   8, UU, 1.53543e+02,   0,   0,   3
28.DCLB, 29.DCLM,    2, 1.55393e+02,   8, 2.45000e+01,   5,   8, UU, 1.55393e+02,   0,   0,   3
29.DCLM, 30.DCLC,    2, 1.57243e+02,   8, 2.45000e+01,   5,   8, UU, 1.57243e+02,   0,   0,   3
30.DCLC, 31.RSTC,    2, 1.57243e+02,   8, 2.45000e+01,   5,   8, UU, 1.57243e+02,   0,   0,   3
31.RSTC, 04.RTSC,    2, 1.57243e+02,   8, 2.45000e+01,   5,   8, UU, 1.57243e+02,   0,   0,   3
04.RTSC, 06.RSUB,    2, 1.57243e+02,   8, 2.45000e+01,   8,   9, UU, 1.57243e+02,   0,   0,   3
06.RSUB, 07.RSUM,    2, 1.58935e+02,   8, 2.49375e+01,   8,   9, UU, 1.58935e+02,   0,   0,   3
07.RSUM, 08.RSUC,    2, 1.60628e+02,   8, 2.62500e+01,   8,   9, UU, 1.60628e+02,   0,   0,   3
08.RSUC, 12.RSDB,    2, 1.60628e+02,   8, 2.62500e+01,   8,   9, UU, 1.60628e+02,   0,   0,   3
12.RSDB, 13.RSDM,    2, 1.60628e+02,   8, 2.75625e+01,   8,   9, UU, 1.60628e+02,   0,   0,   3
13.RSDM, 14.RSDC,    2, 1.64014e+02,   9, 2.80000e+01,   8,   9, UU, 1.64014e+02,   0,   0,   3
14.RSDC, 15.RSTB,    2, 1.64014e+02,   9, 2.80000e+01,   8,   9, UU, 1.64014e+02,   0,   0,   3
15.RSTB, 16.RSTM,    2, 1.64014e+02,   9, 2.80000e+01,   8,   9, UU, 1.64014e+02,   0,   0,   3
16.RSTM, 17.DOPB,    2, 1.64014e+02,   9, 2.80000e+01,   8,   9, UU, 1.64014e+02,   0,   0,   3
